AirportCode,City,Country
ABR,Aberdeen,USA
ABI,Abilene,USA
CAK,Akron,USA
ABY,Albany,USA
ALB,Albany,USA
ABQ,Albuquerque,USA
ABE,Allentown,USA
AOO,Altoona,USA
AXS,Altus,USA
AMA,Amarillo,USA
ANC,Anchorage,USA
ARB,Ann Arbor,USA
ANB,Anniston,USA
ATW,Appelton,USA
AVL,Asheville,USA
ASE,Aspen,USA
AHN,Athens,USA
ATO,Athens,USA
ATL,Atlanta,USA
ACY,Atlantic City,USA
AGS,Augusta,USA
AUG,Augusta,USA
AUS,Austin,USA
BFL,Bakersfield,USA
BWI,Washington DC,USA
BGR,Bangor,USA
BTR,Baton Rouge,USA
BPT,Beaumont,USA
BKW,Beckley,USA
BLI,Bellingham,USA
BJI,Bemidji,USA
BEH,Benton Harbour,USA
BET,Bethel,USA
BIL,Billings,USA
BHM,Birmingham,USA
BIS,Bismarck,USA
BMI,Bloomington,USA
BMG,Bloomington,USA
BLF,Bluefield,USA
BOI,Boise,USA
BXS,Borrego Springs,USA
BOS,Boston,USA
BZN,Bozeman,USA
BFD,Bradford,USA
BRD,Brainerd,USA
BDR,Bridgeport,USA
BKX,Brookings,USA
BQK,Brunswick,USA
BUF,Buffalo,USA
BHC,Bullhead City,USA
BUR,Los Angeles,USA
BRL,Burlington IA,USA
BTV,Burlington,USA
BTM,Butte,USA
CLD,Carlsbad,USA
CSN,Carson City,USA
CPR,Casper,USA
CDC,Cedar City,USA
CID,Cedar Rapids IA,USA
CMI,Champaign,USA
CHS,Charleston,USA
CRW,Charleston,USA
CLT,Charlotte,USA
CHO,Charlottesville,USA
CHA,Chattanooga,USA
CYS,Cheyenne,USA
MDW,Chicago,USA
ORD,Chicago,USA
CHI,Chicago,USA
CIC,Chico,USA
CVG,Cincinnati,USA
CKB,Clarksburg,USA
BKL,Cleveland,USA
CLE,Cleveland,USA
COD,Cody,USA
KCC,Coffmann Cove,USA
CLL,College Station,USA
COS,Colorado Springs,USA
CAE,Columbia,USA
CSG,Columbus,USA
CMH,Columbus,USA
CCR,Concord,USA
CON,Concord,USA
CDV,Cordova,USA
CRP,Corpus Christi,USA
CGA,Craig,USA
CEC,Crescent City,USA
DAL,Dallas,USAs
DFW,Dallas,USA
DAN,Danville,USA
DAY,Dayton,USA
DAB,Daytona Beach,USA
DEC,Decatur,USA
DEN,Denver,USA
DSM,Des Moines,USA
DET,Detroit,USA
DTW,Detroit,USA
DTT,Detroit,USA
DVL,Devils Lake,USA
DLG,Dillingham,USA
DHN,Dothan,USA
DUJ,Dubois,USA
DBQ,Dubuque IA,USA
DLH,Duluth,USA
DRO,Durango,USA
DUT,Dutch Harbor,USA
EAU,Eau Clarie,USA
EKI,Elkhart,USA
EKO,Elko,USA
ELM,Elmira,USA
ELP,El Paso,USA
ELY,Ely,USA
ERI,Erie,USA
ESC,Escanaba,USA
EUG,Eugene,USA
ACV,Eureka,USA
